variable,lambda,kappa
model,0.7745572415674669,0.35692452119568785
model,0.5009645222065967,0.24668709671747505
model,0.5863222870705326,0.25390066137360856
model,0.7183153412682235,0.3158569962002242
model,0.7842593387961051,0.28432516515551826
model,0.694243192269788,0.29426687375106697
model,0.6778761984051868,0.24650059936579158
model,0.8096513462909428,0.4474863683327647
model,0.6186999875907014,0.2169190154485308
model,0.9189453070965616,0.5607299706628283
model,0.6903940168282742,0.24192374712643355
model,0.9243344660270046,0.5524201034938674
model,0.7954281364692759,0.3071762842337953
model,0.8577982532839018,0.4843546839707931
model,0.786026429295696,0.3300587543324775
model,0.4016074797319323,0.23828086749720045
model,0.788561005195446,0.44984155119336283
model,0.712966651744521,0.2412998717998575
model,0.606482828988695,0.305557064160282
model,0.42513186919107077,0.2179309712190757
model,0.8512426579755841,0.36256520297089084
model,0.25641509025705095,0.17979087646025674
model,0.6429656959562248,0.26318440094938145
model,0.8103919736567887,0.3897641221453249
model,0.7023528144640622,0.24248272492053327
model,0.9291499294578555,0.3763165528557025
model,0.8014345969183247,0.3131066838925266
model,0.7624186119554702,0.32358775798825956
model,0.36431167811120047,0.2396281840874105
model,0.8132337971474283,0.3679267180666083
model,0.8770375159912783,0.4003418663901613
model,0.5506788797234514,0.281647196643037
model,0.7710395074825582,0.3252693854684466
model,0.7575599004001083,0.37828426952394806
model,0.4645613581255917,0.19075933389460978
model,0.7740720012111931,0.32357394065175504
model,0.5646022418138664,0.3101956033117806
model,0.8685733453774506,0.4647191569247768
model,0.5918634528385971,0.2710166754424924
model,0.4356982709721788,0.18565698683863563
model,0.6874385250335238,0.3399448027644637
model,0.6735032413017064,0.3328170280357838
model,0.8778337144281193,0.41343336690584614
model,0.29900790312829234,0.2055741246103799
model,0.6803128201454532,0.28968473452582616
model,0.6905980287595289,0.33346000097495837
model,0.8468527800726698,0.3727661384088345
model,0.6998572089782747,0.2926351747103831
model,0.6099315866417703,0.24425905331776307
model,0.6510257653438343,0.2525454010683081
model,0.8938378716972649,0.5340429941263659
model,0.47713711112569773,0.2105810205455623
model,0.4149967633962735,0.15473987958822238
model,0.523016498171017,0.2472370834489414
model,0.6807054515898756,0.23992324914464966
model,0.9760268768157015,0.7155709624047062
model,0.7469027246485933,0.30936516466542
model,0.7258880332574609,0.3560820661612495
model,0.7048364719835672,0.3244131337789638
model,0.627424514095694,0.2846196411503523
model,0.9179552690735681,0.48018673573835985
model,0.53456446791028,0.21479246081017317
model,0.8288595004250306,0.48694601209390465
model,0.87775730846364175,0.38151423860824957
model,0.8438368340008269,0.39493284844123566
model,0.5170632605316815,0.23092458736162882
model,0.5928292669378799,0.25746087372750004
model,0.7470718547191803,0.34736618573269956
model,0.9128252719897874,0.5915569802648716
model,0.6747886827683296,0.26390130318431804
model,0.6525159956530315,0.2483148056145163
model,0.756189108616006,0.3632656404120556
model,0.7865591027727128,0.3649540218822088
model,0.5135252381385885,0.21926937783477868
model,0.8967233818606543,0.4729928141981879
model,0.837756441707346,0.4142705957003475
model,0.6371945160995942,0.2761984998566831
model,0.8867812393632314,0.5063227828604465
model,0.8303573192411882,0.5031777941020773
model,0.5066877703106907,0.2947434074236562
model,0.7657819160934094,0.3572675245274342
model,0.8742144351840034,0.4770006824956284
model,0.7773024661045291,0.3766989428367952
model,0.7417791864727799,0.27076529784750275
model,0.745883669075125,0.23990980784676777
model,0.84202617888614,0.34446908857434994
model,0.6920304109839596,0.2661525128570178
model,0.8762087623925373,0.4065528150277068
model,0.5971740401121864,0.25928566256139784
model,0.8490520324129653,0.4312288231744401
model,0.8202965411302562,0.4053673319560077
model,0.6686532752838972,0.2679495620451479
model,0.6640755050331729,0.26316110489139416
model,0.6536483924181303,0.21571998738058604
model,0.5827220917771936,0.20496320626975958
model,0.7208813036267717,0.36560934576595977
model,0.7857731581220863,0.4795769961828536
model,0.7555602002337147,0.3452560611818865
model,0.8770533032354837,0.35933959177434466
model,0.6474008193920613,0.21224295887901115
model,0.8520250689322981,0.39482094142756713
model,0.7977557739126185,0.36181155125796666
model,0.7513151058279363,0.35835533396614616
model,0.5890978143341411,0.301007973675477
model,0.4434820766038989,0.17802501057583223
model,0.792540965174946,0.3889163972674707
model,0.8929261362798993,0.4334905160180383
model,0.6553018623258624,0.22609742940120345
model,0.6166725368800113,0.21196261303756828
model,0.5462091948674872,0.2577304139531283
model,0.8544790457623002,0.47067013178696315
